Ps,Fd,Wv,Wn,Wd1,Tv,actuator_damping,actuator_force,angular_disp,current,load_flow,load_pressure,orifice_flow,spool_physical_disp,fault
210000000,3,940,224,627,0.5,0,0,0,0,0,0,0,0,no
210000000,3,940,224,627,0.5,698.2956802,151.3492065,0.05762396273,0.5293510549,7.14E-05,415677.5375,7.14E-05,2.11E-05,no
210000000,3,940,224,627,0.5,577.6379192,134.2813132,0.1169190068,0.5078883388,5.90E-05,348297.0804,6.85E-05,2.03E-05,no
210000000,3,940,224,627,0.5,669.7561804,124.984066,0.172985532,0.4767437488,6.84E-05,388816.1675,6.41E-05,1.91E-05,no
210000000,3,940,224,627,0.5,568.3638638,112.3911934,0.2248838376,0.4363674832,5.81E-05,333050.4194,5.86E-05,1.75E-05,no
210000000,3,940,224,627,0.5,520.6627944,97.75955363,0.2715777166,0.3873960936,5.32E-05,302554.9648,5.19E-05,1.55E-05,no
210000000,3,940,224,627,0.5,464.2060283,81.64317424,0.3120907617,0.330334434,4.74E-05,267049.512,4.40E-05,1.32E-05,no
210000000,3,940,224,627,0.5,353.6699774,63.17646952,0.3455510751,0.2663161479,3.61E-05,203936.6179,3.51E-05,1.07E-05,no
210000000,3,940,224,627,0.5,259.9495642,43.26017048,0.371227828,0.1968839439,2.66E-05,148341.3575,2.56E-05,7.89E-06,no
210000000,3,940,224,627,0.5,168.8234505,22.46430853,0.3885550627,0.1233190495,1.73E-05,93585.00932,1.54E-05,4.95E-06,no
210000000,3,940,224,627,0.5,59.50700796,1.224349749,0.3971511822,0.04715037205,6.08E-06,29712.01454,4.90E-06,1.91E-06,no
210000000,3,940,224,627,0.5,-43.13730775,-16.78967782,0.3969655777,-0.0539714196,-4.41E-06,-29318.48609,-5.71E-06,-2.15E-06,no
210000000,3,940,224,627,0.5,-146.28665,-42.71163741,0.3876691389,-0.1306506263,-1.50E-05,-92464.91555,-1.63E-05,-5.21E-06,no
210000000,3,940,224,627,0.5,-231.6480683,-62.18512041,0.3696803549,-0.2036856077,-2.37E-05,-143754.0062,-2.64E-05,-8.14E-06,no
